"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"United States","3361","Motor Vehicle Manufacturing","2022","252","315","390,234,668","19,302,327","4,790,852","252,000","14,408,519","3,628,416","201,422","382,379","4,893,808","1,162,436","50,578","8,004,925","3,411,811","457,160","837,862","3,298,092","296,821,646","295,379,751","271,784","264,102","265,223","640,786","8,686,030","D","D","96,713,860","18,640,437","3,531,968","4,286,193","10,822,276","21,295,760","5,042,784","6,076,215","10,176,761","100,437,036","26,637,289","73,799,747","11,813,857","3,817,125","7,996,732","143,959","185,906","7,666,867","960,564","86,842","873,722","111,290,329","30,367,572","80,922,757","11,540,866","303,666","134,633","169,033","13,641,361","898,352","123,047","201,971","134,322","62,771","1,072,067","234,502","163,940","1,121,835","547,759","9,080,795","40% to less than 50%","30% to less than 40%","30% to less than 40%"
"United States","33611","Automobile and Light Duty Motor Vehicle Manufacturing","2022","170","210","357,155,770","16,800,961","4,207,156","213,363","12,624,161","3,216,728","171,196","326,364","4,176,800","990,428","42,167","6,964,961","2,909,892","344,665","744,490","2,965,914","272,152,098","271,169,491","2,162","157,122","237,480","585,843","7,986,153","D","D","88,263,065","15,948,010","3,357,411","3,052,997","9,537,602","18,281,777","4,805,155","4,864,646","8,611,976","97,096,198","25,519,080","71,577,118","11,139,504","3,510,771","7,628,733","118,749","169,870","7,340,114","879,817","D","D","107,355,885","28,954,399","78,401,486","11,320,192","244,977","96,152","148,825","12,617,366","849,461","104,883","190,388","128,125","56,061","976,203","216,420","141,195","1,021,910","516,720","8,416,000","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","336110","Automobile and Light Duty Motor Vehicle Manufacturing","2022","170","210","357,155,770","16,800,961","4,207,156","213,363","12,624,161","3,216,728","171,196","326,364","4,176,800","990,428","42,167","6,964,961","2,909,892","344,665","744,490","2,965,914","272,152,098","271,169,491","2,162","157,122","237,480","585,843","7,986,153","D","D","88,263,065","15,948,010","3,357,411","3,052,997","9,537,602","18,281,777","4,805,155","4,864,646","8,611,976","97,096,198","25,519,080","71,577,118","11,139,504","3,510,771","7,628,733","118,749","169,870","7,340,114","879,817","D","D","107,355,885","28,954,399","78,401,486","11,320,192","244,977","96,152","148,825","12,617,366","849,461","104,883","190,388","128,125","56,061","976,203","216,420","141,195","1,021,910","516,720","8,416,000","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","33612","Heavy Duty Truck Manufacturing","2022","84","105","33,078,898","2,501,366","583,696","38,637","1,784,358","411,688","30,226","56,015","717,008","172,008","8,411","1,039,964","501,919","112,495","93,372","332,178","24,669,548","24,210,260","269,622","106,980","27,743","54,943","699,877","D","0","8,450,795","2,692,427","174,557","1,233,196","1,284,674","3,013,983","237,629","1,211,569","1,564,785","3,340,838","1,118,209","2,222,629","674,353","306,354","367,999","25,210","16,036","326,753","80,747","D","D","3,934,444","1,413,173","2,521,271","220,674","58,689","38,481","20,208","1,023,995","48,891","18,164","11,583","6,197","6,710","95,864","18,082","22,745","99,925","31,039","664,795","30% to less than 40%","20% to less than 30%","10% to less than 20%"
"United States","336120","Heavy Duty Truck Manufacturing","2022","84","105","33,078,898","2,501,366","583,696","38,637","1,784,358","411,688","30,226","56,015","717,008","172,008","8,411","1,039,964","501,919","112,495","93,372","332,178","24,669,548","24,210,260","269,622","106,980","27,743","54,943","699,877","D","0","8,450,795","2,692,427","174,557","1,233,196","1,284,674","3,013,983","237,629","1,211,569","1,564,785","3,340,838","1,118,209","2,222,629","674,353","306,354","367,999","25,210","16,036","326,753","80,747","D","D","3,934,444","1,413,173","2,521,271","220,674","58,689","38,481","20,208","1,023,995","48,891","18,164","11,583","6,197","6,710","95,864","18,082","22,745","99,925","31,039","664,795","30% to less than 40%","20% to less than 30%","10% to less than 20%"
"United States","3362","Motor Vehicle Body and Trailer Manufacturing","2022","1,880","2,315","72,312,940","10,349,148","2,657,621","177,036","7,177,435","1,739,559","141,754","269,079","3,171,713","918,062","35,282","2,255,693","922,821","44,231","140,517","1,148,124","46,572,974","45,425,007","624,919","252,967","94,956","175,125","1,960,981","1,448","D","26,748,413","8,993,227","1,807,189","1,902,356","5,283,682","10,773,580","2,449,327","2,268,665","6,055,588","8,388,648","3,135,348","5,253,300","1,130,188","449,365","680,823","107,346","82,571","490,906","160,154","38,328","121,826","9,358,682","3,546,385","5,812,297","822,396","406,922","322,062","84,860","3,638,223","182,323","58,809","43,143","40,539","41,299","235,725","88,317","151,754","387,352","147,272","2,261,690","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","33621","Motor Vehicle Body and Trailer Manufacturing","2022","1,880","2,315","72,312,940","10,349,148","2,657,621","177,036","7,177,435","1,739,559","141,754","269,079","3,171,713","918,062","35,282","2,255,693","922,821","44,231","140,517","1,148,124","46,572,974","45,425,007","624,919","252,967","94,956","175,125","1,960,981","1,448","D","26,748,413","8,993,227","1,807,189","1,902,356","5,283,682","10,773,580","2,449,327","2,268,665","6,055,588","8,388,648","3,135,348","5,253,300","1,130,188","449,365","680,823","107,346","82,571","490,906","160,154","38,328","121,826","9,358,682","3,546,385","5,812,297","822,396","406,922","322,062","84,860","3,638,223","182,323","58,809","43,143","40,539","41,299","235,725","88,317","151,754","387,352","147,272","2,261,690","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","336211","Motor Vehicle Body Manufacturing","2022","781","964","20,264,702","3,223,418","776,374","57,659","2,128,606","510,833","44,676","84,698","1,094,812","265,541","12,983","842,705","376,817","21,492","76,055","368,341","12,488,126","11,812,551","452,366","121,495","40,427","61,287","691,624","343","0","8,256,723","3,292,391","838,011","879,981","1,574,399","4,107,638","1,102,784","1,095,355","1,909,499","2,875,673","1,006,800","1,868,873","308,587","59,356","249,231","60,119","36,073","153,039","44,782","14,300","30,482","3,139,478","1,051,856","2,087,622","267,976","160,850","137,832","23,018","1,196,841","50,201","17,614","22,117","14,599","18,699","81,725","21,769","49,786","81,195","43,195","795,941","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"United States","336212","Truck Trailer Manufacturing","2022","497","582","17,068,125","2,346,991","563,295","45,182","1,705,784","404,084","37,187","69,678","641,207","159,211","7,995","584,882","253,686","17,790","31,664","281,742","11,732,482","11,452,876","133,032","64,088","25,431","57,055","662,272","D","D","5,431,786","2,197,778","462,638","273,865","1,461,275","2,646,309","515,085","317,561","1,813,663","2,501,035","922,085","1,578,950","363,084","120,316","242,768","25,843","15,958","200,967","41,615","10,088","31,527","2,822,504","1,032,313","1,790,191","207,183","135,012","95,107","39,905","886,227","87,766","21,939","10,874","10,388","10,066","87,901","17,503","37,753","93,122","38,162","470,753","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","336213","Motor Home Manufacturing","2022","58","69","7,414,703","862,893","212,307","12,643","538,176","131,048","9,908","19,225","324,717","81,259","2,735","170,295","59,096","1,826","9,434","99,939","5,085,877","5,025,782","16,082","26,222","5,216","12,575","152,817","D","0","2,456,846","1,159,444","85,679","430,385","643,380","1,373,173","122,436","521,648","729,089","733,841","296,171","437,670","78,587","25,196","53,391","6,360","14,481","32,550","11,277","4,965","6,312","801,151","316,402","484,749","66,316","19,719","15,114","4,605","279,519","10,520","5,023","3,206","7,066","2,412","16,701","6,304","13,205","54,763","10,419","149,900","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","336214","Travel Trailer and Camper Manufacturing","2022","575","700","27,565,410","3,915,846","1,105,645","61,552","2,804,869","693,594","49,983","95,478","1,110,977","412,051","11,569","657,811","233,222","3,123","23,364","398,102","17,266,489","17,133,798","23,439","41,162","23,882","44,208","454,268","D","D","10,603,058","2,343,614","420,861","318,125","1,604,628","2,646,460","709,022","334,101","1,603,337","2,278,099","910,292","1,367,807","379,930","244,497","135,433","15,024","16,059","104,350","62,480","8,975","53,505","2,595,549","1,145,814","1,449,735","280,921","91,341","74,009","17,332","1,275,636","33,836","14,233","6,946","8,486","10,122","49,398","42,741","51,010","158,272","55,496","845,096","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","3363","Motor Vehicle Parts Manufacturing","2022","3,814","4,846","278,236,415","33,203,686","8,224,332","575,338","21,946,031","5,420,880","436,157","851,694","11,257,655","2,803,452","139,181","11,077,653","5,117,763","396,882","1,070,584","4,492,424","188,827,368","180,088,911","4,395,085","2,192,826","513,740","1,636,806","21,058,341","7,672","D","90,550,011","28,432,677","7,479,401","5,144,682","15,808,594","30,579,558","8,374,417","5,390,630","16,814,511","117,627,748","23,033,454","94,594,294","7,086,117","752,464","6,333,653","155,669","147,329","6,030,655","3,040,605","381,091","2,659,514","121,673,260","23,404,827","98,268,433","10,730,094","1,428,604","1,006,657","421,947","14,224,154","2,259,107","201,049","161,147","206,238","155,038","2,190,307","291,012","235,878","1,270,274","726,949","6,527,155","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","33631","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","2022","610","674","38,967,381","3,881,387","1,060,236","59,754","2,748,165","738,408","45,316","89,205","1,133,222","321,828","14,438","1,476,364","673,526","89,073","171,306","542,459","25,880,733","25,317,314","202,316","94,121","57,078","209,904","2,964,360","D","D","13,469,415","4,262,608","953,007","1,038,306","2,271,295","5,020,785","1,222,991","1,151,089","2,646,705","16,217,180","2,500,530","13,716,650","797,890","90,904","706,986","22,615","13,629","670,742","286,741","32,532","254,209","16,728,329","2,558,902","14,169,427","1,160,991","120,351","83,371","36,980","1,637,369","173,621","21,334","23,601","26,016","22,230","271,376","31,779","23,146","204,212","78,743","761,311","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","336310","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","2022","610","674","38,967,381","3,881,387","1,060,236","59,754","2,748,165","738,408","45,316","89,205","1,133,222","321,828","14,438","1,476,364","673,526","89,073","171,306","542,459","25,880,733","25,317,314","202,316","94,121","57,078","209,904","2,964,360","D","D","13,469,415","4,262,608","953,007","1,038,306","2,271,295","5,020,785","1,222,991","1,151,089","2,646,705","16,217,180","2,500,530","13,716,650","797,890","90,904","706,986","22,615","13,629","670,742","286,741","32,532","254,209","16,728,329","2,558,902","14,169,427","1,160,991","120,351","83,371","36,980","1,637,369","173,621","21,334","23,601","26,016","22,230","271,376","31,779","23,146","204,212","78,743","761,311","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","33632","Motor Vehicle Electrical and Electronic Equipment Manufacturing","2022","519","571","28,038,554","3,425,537","839,159","59,943","2,055,122","500,212","43,968","88,505","1,370,415","338,947","15,975","1,009,351","478,304","12,328","120,592","398,127","18,664,450","16,734,042","1,358,373","407,573","24,813","139,649","1,741,755","D","0","9,507,153","4,280,809","1,429,379","438,439","2,412,991","4,433,679","1,530,019","470,848","2,432,812","9,925,391","1,954,944","7,970,447","674,137","74,479","599,658","14,406","12,493","572,759","392,993","6,270","386,723","10,206,535","2,023,153","8,183,382","960,221","140,556","100,944","39,612","1,594,715","225,808","18,791","15,094","20,733","16,022","123,834","15,451","40,474","201,278","44,132","873,098","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","336320","Motor Vehicle Electrical and Electronic Equipment Manufacturing","2022","519","571","28,038,554","3,425,537","839,159","59,943","2,055,122","500,212","43,968","88,505","1,370,415","338,947","15,975","1,009,351","478,304","12,328","120,592","398,127","18,664,450","16,734,042","1,358,373","407,573","24,813","139,649","1,741,755","D","0","9,507,153","4,280,809","1,429,379","438,439","2,412,991","4,433,679","1,530,019","470,848","2,432,812","9,925,391","1,954,944","7,970,447","674,137","74,479","599,658","14,406","12,493","572,759","392,993","6,270","386,723","10,206,535","2,023,153","8,183,382","960,221","140,556","100,944","39,612","1,594,715","225,808","18,791","15,094","20,733","16,022","123,834","15,451","40,474","201,278","44,132","873,098","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","33633","Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","2022","248","297","16,979,065","2,069,146","476,400","35,440","1,245,827","277,161","24,866","48,792","823,319","199,239","10,574","579,235","249,645","16,941","60,571","252,078","12,157,333","11,502,903","469,161","53,563","41,331","90,375","1,150,546","D","0","4,854,175","1,973,748","514,069","326,085","1,133,594","2,091,262","549,899","322,698","1,218,665","7,053,049","1,068,248","5,984,801","324,986","42,055","282,931","15,006","9,984","257,941","291,614","5,687","285,927","7,086,421","1,104,616","5,981,805","538,096","88,570","62,010","26,560","953,568","105,136","15,938","9,164","11,471","11,244","105,813","14,904","20,881","95,596","40,887","522,534","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"United States","336330","Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","2022","248","297","16,979,065","2,069,146","476,400","35,440","1,245,827","277,161","24,866","48,792","823,319","199,239","10,574","579,235","249,645","16,941","60,571","252,078","12,157,333","11,502,903","469,161","53,563","41,331","90,375","1,150,546","D","0","4,854,175","1,973,748","514,069","326,085","1,133,594","2,091,262","549,899","322,698","1,218,665","7,053,049","1,068,248","5,984,801","324,986","42,055","282,931","15,006","9,984","257,941","291,614","5,687","285,927","7,086,421","1,104,616","5,981,805","538,096","88,570","62,010","26,560","953,568","105,136","15,938","9,164","11,471","11,244","105,813","14,904","20,881","95,596","40,887","522,534","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"United States","33634","Motor Vehicle Brake System Manufacturing","2022","137","169","10,217,537","1,079,536","264,238","19,809","712,397","172,002","15,276","29,444","367,139","92,236","4,533","311,936","145,941","7,724","38,861","119,410","6,687,662","6,211,233","325,199","44,986","18,883","87,361","1,100,726","D","0","3,575,031","1,001,818","297,761","111,797","592,260","1,093,196","340,809","113,905","638,482","5,598,911","905,646","4,693,265","228,142","18,543","209,599","3,262","2,933","203,404","220,253","5,194","215,059","5,606,800","918,995","4,687,805","410,645","42,638","28,844","13,794","599,407","99,764","7,652","4,787","6,459","5,009","189,858","13,894","4,434","37,543","26,193","203,814","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","336340","Motor Vehicle Brake System Manufacturing","2022","137","169","10,217,537","1,079,536","264,238","19,809","712,397","172,002","15,276","29,444","367,139","92,236","4,533","311,936","145,941","7,724","38,861","119,410","6,687,662","6,211,233","325,199","44,986","18,883","87,361","1,100,726","D","0","3,575,031","1,001,818","297,761","111,797","592,260","1,093,196","340,809","113,905","638,482","5,598,911","905,646","4,693,265","228,142","18,543","209,599","3,262","2,933","203,404","220,253","5,194","215,059","5,606,800","918,995","4,687,805","410,645","42,638","28,844","13,794","599,407","99,764","7,652","4,787","6,459","5,009","189,858","13,894","4,434","37,543","26,193","203,814","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","33635","Motor Vehicle Transmission and Power Train Parts Manufacturing","2022","383","486","47,186,478","5,350,816","1,317,652","83,333","3,668,246","898,088","64,023","124,493","1,682,570","419,564","19,310","2,215,802","992,413","92,455","222,034","908,900","32,461,014","31,322,193","479,211","271,260","88,152","300,198","4,065,097","566","D","14,820,403","4,943,472","1,136,038","1,270,643","2,536,791","5,290,173","1,184,497","1,317,123","2,788,553","21,465,439","3,687,981","17,777,458","1,882,091","102,293","1,779,798","30,584","30,091","1,719,123","385,285","44,780","340,505","22,962,245","3,745,494","19,216,751","2,175,259","143,275","91,565","51,710","1,928,780","304,244","23,270","25,187","38,657","19,412","341,962","51,711","21,435","145,025","157,781","800,096","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","336350","Motor Vehicle Transmission and Power Train Parts Manufacturing","2022","383","486","47,186,478","5,350,816","1,317,652","83,333","3,668,246","898,088","64,023","124,493","1,682,570","419,564","19,310","2,215,802","992,413","92,455","222,034","908,900","32,461,014","31,322,193","479,211","271,260","88,152","300,198","4,065,097","566","D","14,820,403","4,943,472","1,136,038","1,270,643","2,536,791","5,290,173","1,184,497","1,317,123","2,788,553","21,465,439","3,687,981","17,777,458","1,882,091","102,293","1,779,798","30,584","30,091","1,719,123","385,285","44,780","340,505","22,962,245","3,745,494","19,216,751","2,175,259","143,275","91,565","51,710","1,928,780","304,244","23,270","25,187","38,657","19,412","341,962","51,711","21,435","145,025","157,781","800,096","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","33636","Motor Vehicle Seating and Interior Trim Manufacturing","2022","328","457","29,884,925","3,624,488","881,815","72,280","2,475,074","603,062","56,086","109,903","1,149,414","278,753","16,194","1,057,779","504,027","20,462","80,047","453,243","21,225,013","20,742,250","175,222","147,020","27,347","133,174","1,613,551","D","0","8,693,054","1,710,365","334,297","151,894","1,224,174","1,771,699","375,537","143,796","1,252,366","6,972,056","1,713,976","5,258,080","419,795","52,063","367,732","21,538","22,265","323,929","548,586","99,431","449,155","6,843,265","1,666,608","5,176,657","600,975","183,929","130,412","53,517","1,224,859","268,541","35,684","16,911","11,790","17,937","174,242","37,176","19,980","130,652","62,178","449,768","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","336360","Motor Vehicle Seating and Interior Trim Manufacturing","2022","328","457","29,884,925","3,624,488","881,815","72,280","2,475,074","603,062","56,086","109,903","1,149,414","278,753","16,194","1,057,779","504,027","20,462","80,047","453,243","21,225,013","20,742,250","175,222","147,020","27,347","133,174","1,613,551","D","0","8,693,054","1,710,365","334,297","151,894","1,224,174","1,771,699","375,537","143,796","1,252,366","6,972,056","1,713,976","5,258,080","419,795","52,063","367,732","21,538","22,265","323,929","548,586","99,431","449,155","6,843,265","1,666,608","5,176,657","600,975","183,929","130,412","53,517","1,224,859","268,541","35,684","16,911","11,790","17,937","174,242","37,176","19,980","130,652","62,178","449,768","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","33637","Motor Vehicle Metal Stamping","2022","556","736","40,483,468","6,084,081","1,498,267","103,323","3,993,042","992,597","79,346","152,572","2,091,039","505,670","23,977","2,058,050","995,147","73,614","160,043","829,246","26,297,085","24,836,528","296,129","778,106","90,752","295,570","3,564,152","33","D","14,351,610","3,092,812","746,088","857,421","1,489,303","3,301,647","902,637","866,099","1,532,911","24,650,811","5,073,256","19,577,555","1,000,175","122,699","877,476","20,929","22,384","834,163","419,251","125,761","293,490","25,231,735","5,070,194","20,161,541","2,564,186","287,304","203,900","83,404","2,866,428","497,954","27,103","28,770","38,433","22,914","518,246","39,155","9,894","186,657","154,250","1,343,052","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","336370","Motor Vehicle Metal Stamping","2022","556","736","40,483,468","6,084,081","1,498,267","103,323","3,993,042","992,597","79,346","152,572","2,091,039","505,670","23,977","2,058,050","995,147","73,614","160,043","829,246","26,297,085","24,836,528","296,129","778,106","90,752","295,570","3,564,152","33","D","14,351,610","3,092,812","746,088","857,421","1,489,303","3,301,647","902,637","866,099","1,532,911","24,650,811","5,073,256","19,577,555","1,000,175","122,699","877,476","20,929","22,384","834,163","419,251","125,761","293,490","25,231,735","5,070,194","20,161,541","2,564,186","287,304","203,900","83,404","2,866,428","497,954","27,103","28,770","38,433","22,914","518,246","39,155","9,894","186,657","154,250","1,343,052","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","33639","Other Motor Vehicle Parts Manufacturing","2022","1,227","1,456","66,479,007","7,688,695","1,886,565","141,456","5,048,158","1,239,350","107,276","208,780","2,640,537","647,215","34,180","2,369,136","1,078,760","84,285","217,130","988,961","45,454,078","43,422,448","1,089,474","396,197","165,384","380,575","4,858,154","415","D","21,279,170","7,167,045","2,068,762","950,097","4,148,186","7,577,117","2,268,028","1,005,072","4,304,017","25,744,911","6,128,873","19,616,038","1,758,901","249,428","1,509,473","27,329","33,550","1,448,594","495,882","61,436","434,446","27,007,930","6,316,865","20,691,065","2,319,721","421,981","305,611","116,370","3,419,028","584,039","51,277","37,633","52,679","40,270","464,976","86,942","95,634","269,311","162,785","1,573,482","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","336390","Other Motor Vehicle Parts Manufacturing","2022","1,227","1,456","66,479,007","7,688,695","1,886,565","141,456","5,048,158","1,239,350","107,276","208,780","2,640,537","647,215","34,180","2,369,136","1,078,760","84,285","217,130","988,961","45,454,078","43,422,448","1,089,474","396,197","165,384","380,575","4,858,154","415","D","21,279,170","7,167,045","2,068,762","950,097","4,148,186","7,577,117","2,268,028","1,005,072","4,304,017","25,744,911","6,128,873","19,616,038","1,758,901","249,428","1,509,473","27,329","33,550","1,448,594","495,882","61,436","434,446","27,007,930","6,316,865","20,691,065","2,319,721","421,981","305,611","116,370","3,419,028","584,039","51,277","37,633","52,679","40,270","464,976","86,942","95,634","269,311","162,785","1,573,482","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","3364","Aerospace Product and Parts Manufacturing","2022","1,379","1,865","203,522,434","41,934,976","11,298,846","416,552","20,730,287","5,383,254","241,611","466,342","21,204,689","5,915,592","174,941","14,802,944","4,972,643","2,445,688","2,325,858","5,058,755","106,258,587","101,960,893","953,635","1,931,990","268,699","1,143,370","15,652,598","D","D","100,717,535","89,577,795","8,733,616","71,161,495","9,682,684","93,753,491","9,706,315","73,642,484","10,404,692","78,456,943","25,398,301","53,058,642","5,065,529","948,130","4,117,399","115,279","397,622","3,604,498","1,119,292","355,688","763,604","82,403,180","25,990,743","56,412,437","7,055,462","968,173","686,602","281,571","14,375,184","1,195,430","690,279","884,856","1,433,612","536,133","896,597","181,612","198,009","1,605,042","573,964","6,179,650","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","33641","Aerospace Product and Parts Manufacturing","2022","1,379","1,865","203,522,434","41,934,976","11,298,846","416,552","20,730,287","5,383,254","241,611","466,342","21,204,689","5,915,592","174,941","14,802,944","4,972,643","2,445,688","2,325,858","5,058,755","106,258,587","101,960,893","953,635","1,931,990","268,699","1,143,370","15,652,598","D","D","100,717,535","89,577,795","8,733,616","71,161,495","9,682,684","93,753,491","9,706,315","73,642,484","10,404,692","78,456,943","25,398,301","53,058,642","5,065,529","948,130","4,117,399","115,279","397,622","3,604,498","1,119,292","355,688","763,604","82,403,180","25,990,743","56,412,437","7,055,462","968,173","686,602","281,571","14,375,184","1,195,430","690,279","884,856","1,433,612","536,133","896,597","181,612","198,009","1,605,042","573,964","6,179,650","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"United States","336411","Aircraft Manufacturing","2022","234","286","92,756,062","18,755,458","5,223,939","178,922","9,154,270","2,375,248","97,964","185,050","9,601,188","2,848,691","80,958","6,580,442","2,199,854","1,351,423","1,212,391","1,816,774","52,802,305","51,540,075","493,999","271,556","84,499","412,176","7,371,354","D","0","41,318,069","67,849,018","1,835,431","62,236,000","3,777,587","69,142,458","1,798,146","63,637,597","3,706,715","31,131,556","11,096,160","20,035,396","2,125,107","388,220","1,736,887","56,622","215,370","1,464,895","371,701","187,578","184,123","32,884,962","11,296,802","21,588,160","3,162,092","367,844","280,951","86,893","6,606,694","550,855","390,948","494,512","1,080,027","409,924","202,132","41,098","133,014","670,565","298,078","2,335,541","50% to less than 60%","50% to less than 60%","50% to less than 60%"
